Name,College,Major,High School,High School Location,Extracurriculars,Volunteering,Awards
MIT,Computer Science,Phillips Exeter Academy,Exeter, NH,"Robotics Club (President), Computer Science Club, Chess Team",Taught coding to middle school students at a local community center,"National Merit Scholar, First place in State Robotics Competition"
UCLA,Mathematics,Los Angeles High School for the Arts,Los Angeles, CA,"Math Olympiad Team (Captain), Debate Club, Jazz Band",Tutor at local math tutoring center,"AMC 12 Honor Roll, California State Debate Finalist"
Stanford University,Biology,Palo Alto High School,Palo Alto, CA,"Biology Club (Vice President), Swim Team, Yearbook Committee","Habitat for Humanity, Animal Shelter Volunteer","AP Scholar with Distinction, Regional Science Fair Winner"
Harvard University,Political Science,Boston Latin School,Boston, MA,"Model UN (Secretary-General), Newspaper Editor",Soup Kitchen Volunteer,"National Debate Champion, AP Scholar"
MIT,Mathematics,Stuyvesant High School,New York, NY,"Math Team (Co-President), Science Olympiad, Chess Club",Math Tutor at local library,"Intel ISEF Finalist, Math Olympiad Silver Medalist"
UCLA,Biology,Torrance High School,Torrance, CA,"Biology Club (President), Swim Team","Red Cross Volunteer, Beach Clean-up Organizer","AP Scholar with Honor, State Science Fair Winner"
Stanford University,Computer Science,Gunn High School,Palo Alto, CA,"Coding Club (President), Robotics Team, Choir",Code for Good Hackathon Mentor,"Google Code-In Finalist, National Merit Scholar"
Harvard University,Mathematics,Harvard-Westlake School,Los Angeles, CA,"Math Team (President), Debate Club, Orchestra",Math Tutor at local community center,"AMC 10 Honor Roll, Harvard Book Award"
MIT,Political Science,Lexington High School,Lexington, MA,"Model UN (President), Student Council, Soccer Team",Youth Advocacy Volunteer,"National History Day State Champion, AP Scholar"
UCLA,Computer Science,San Marino High School,San Marino, CA,"Robotics Club (Vice President), Computer Science Club, Art Club",Volunteered at local senior center,"National AP Scholar, National Robotics Competition Finalist"
Stanford University,Biology,Menlo School,Atherton, CA,"Biology Olympiad Team, Water Polo Team, Creative Writing Club","Hospital Volunteer, Environmental Activist","AP Scholar with Distinction, National Biology Olympiad Qualifier"
Harvard University,Mathematics,Newton North High School,Newton, MA,"Math Club (President), Debate Club, Drama Club",Tutored math at Boys & Girls Club,"AMC 12 Top Scorer, Massachusetts State Debate Champion"
MIT,Computer Science,Bronx Science,Bronx, NY,"Programming Club (President), Chess Club, Track Team",Taught coding at local elementary school,"Regeneron STS Finalist, USACO Gold Division"
UCLA,Political Science,Santa Monica High School,Santa Monica, CA,"Model UN (Vice President), Speech & Debate, Drama Club",Local campaign volunteer,"National Debate Tournament Semifinalist, AP Scholar"
Stanford University,Mathematics,Lynbrook High School,San Jose, CA,"Math Team (Co-Captain), Robotics Club, Orchestra",Math Circle Volunteer,"AMC 10 Honor Roll, National MathCounts Qualifier"
Harvard University,Biology,Boston Latin Academy,Boston, MA,"Science Club (President), Soccer Team, Peer Mentor",Hospital Volunteer,"Siemens Competition Semifinalist, AP Scholar with Honor"
MIT,Mathematics,Exeter Academy,Exeter, NH,"Math Club (President), Science Bowl, Lacrosse Team",Math Tutor at local high school,"Intel STS Finalist, National Merit Scholar"
UCLA,Biology,Beverly Hills High School,Beverly Hills, CA,"Biology Club (President), Swim Team, Photography Club",Animal Shelter Volunteer,"AP Scholar with Distinction, Regional Science Fair Winner"
Stanford University,Political Science,Palo Alto High School,Palo Alto, CA,"Model UN (Secretary-General), Debate Club, Yearbook Committee",Food Bank Volunteer,"National History Day State Champion, National Debate Tournament Finalist"
Harvard University,Computer Science,Brookline High School,Brookline, MA,"Robotics Club (Co-President), Coding Club, Dance Team",Taught programming at local community center,"Google Code-In Winner, National AP Scholar"
